ID,Plant,Leaf,Timestamp,leaf_area_(mm²),leaf_dry_mass_(mg),SLA_(mm²/mg),elevation,mean_temp,mean_precip,mean_VPD
OV10A,10,B,2/4/24 10:20,47.37,2.414,19.62303231,2499,15.36111111,156.7434,23.72717
OV10B,10,C,2/4/24 10:21,39.73,2.125,18.69647059,2499,15.36111111,156.7434,23.72717
OV10C,10,A,2/4/24 10:22,25.69,1.337,19.21465969,2499,15.36111111,156.7434,23.72717
OV11A,11,B,2/4/24 10:25,50.18,2.247,22.33199822,2499,15.36111111,156.7434,23.72717
OV11B,11,C,2/4/24 10:26,58.58,2.712,21.60029499,2499,15.36111111,156.7434,23.72717
OV11C,11,A,2/4/24 10:28,57.29,2.395,23.92066806,2499,15.36111111,156.7434,23.72717
OV12A,12,B,2/4/24 10:30,34.78,1.579,22.02659911,2499,15.36111111,156.7434,23.72717
OV12B,12,C,2/4/24 10:32,52.7,2.264,23.27738516,2499,15.36111111,156.7434,23.72717
OV12C,12,A,2/4/24 10:33,47.81,2.122,22.53063148,2499,15.36111111,156.7434,23.72717
OV13A,13,B,2/4/24 10:42,30.55,1.61,18.97515528,2499,15.36111111,156.7434,23.72717
OV13B,13,C,2/4/24 10:43,29.37,1.517,19.36058009,2499,15.36111111,156.7434,23.72717
OV13C,13,A,2/4/24 10:44,29.27,1.465,19.97952218,2499,15.36111111,156.7434,23.72717
OV14A,14,A,2/4/24 10:51,28.77,1.537,18.71828237,2499,15.36111111,156.7434,23.72717
OV14B,14,B,2/4/24 10:52,35.57,1.475,24.11525424,2499,15.36111111,156.7434,23.72717
OV14C,14,C,2/4/24 10:53,37.39,1.573,23.7698665,2499,15.36111111,156.7434,23.72717
OV15A,15,A,2/4/24 10:54,60.22,2.63,22.8973384,2499,15.36111111,156.7434,23.72717
OV15B,15,B,2/4/24 10:55,68.92,2.622,26.28527841,2499,15.36111111,156.7434,23.72717
OV15C,15,C,2/4/24 10:56,57.24,2.21,25.90045249,2499,15.36111111,156.7434,23.72717
OV16A,16,A,2/4/24 11:04,27.33,1.206,22.66169154,2499,15.36111111,156.7434,23.72717
OV16B,16,B,2/4/24 11:05,51.09,2.18,23.43577982,2499,15.36111111,156.7434,23.72717
OV16C,16,C,2/4/24 11:06,42.01,1.686,24.91696323,2499,15.36111111,156.7434,23.72717
OV17A,17,A,2/4/24 11:07,31.48,1.733,18.16503174,2499,15.36111111,156.7434,23.72717
OV17B,17,B,2/4/24 11:08,54.89,2.655,20.67419962,2499,15.36111111,156.7434,23.72717
OV17C,17,C,2/4/24 11:09,39.96,1.955,20.4398977,2499,15.36111111,156.7434,23.72717
OV18A,18,A,2/4/24 11:10,44.38,1.974,22.4822695,2499,15.36111111,156.7434,23.72717
OV18B,18,A,2/4/24 11:10,49.67,1.856,26.76185345,2499,15.36111111,156.7434,23.72717
OV18C,18,B,2/4/24 11:12,48.42,2.257,21.45325654,2499,15.36111111,156.7434,23.72717
OV19A,19,C,2/4/24 11:12,46.1,2.196,20.99271403,2499,15.36111111,156.7434,23.72717
OV19B,19,A,2/4/24 11:14,17.85,0.936,19.07051282,2499,15.36111111,156.7434,23.72717
OV19C,19,B,2/4/24 11:15,18.55,0.937,19.79722519,2499,15.36111111,156.7434,23.72717
OV20A,20,C,2/4/24 11:16,43.68,1.863,23.44605475,2499,15.36111111,156.7434,23.72717
OV20B,20,A,2/4/24 11:17,54.45,2.146,25.37278658,2499,15.36111111,156.7434,23.72717
OV20C,20,B,2/4/24 11:18,66.79,2.937,22.74089207,2499,15.36111111,156.7434,23.72717
OV21A,21,C,2/4/24 11:27,35.77,1.797,19.90539789,2499,15.36111111,156.7434,23.72717
OV21B,21,A,2/4/24 11:28,31.56,1.509,20.91451292,2499,15.36111111,156.7434,23.72717
OV21C,21,B,2/4/24 11:29,43.09,1.775,24.27605634,2499,15.36111111,156.7434,23.72717
OV22A,22,C,2/4/24 11:30,34.63,1.806,19.17497231,2499,15.36111111,156.7434,23.72717
OV22B,22,A,2/4/24 11:31,30.08,1.406,21.3940256,2499,15.36111111,156.7434,23.72717
OV22C,22,A,2/4/24 11:32,41.35,1.99,20.77889447,2499,15.36111111,156.7434,23.72717
OV23A,23,B,2/4/24 11:33,60.79,2.342,25.95644748,2499,15.36111111,156.7434,23.72717
OV23B,23,C,2/4/24 11:34,56.04,2.284,24.53590193,2499,15.36111111,156.7434,23.72717
OV23C,23,A,2/4/24 11:35,59.72,2.679,22.29189996,2499,15.36111111,156.7434,23.72717
OV24A,24,B,2/4/24 11:36,67.57,2.406,28.08395677,2499,15.36111111,156.7434,23.72717
OV24B,24,C,2/4/24 11:36,55.05,2.165,25.42725173,2499,15.36111111,156.7434,23.72717
OV24C,24,A,2/4/24 11:37,51.64,2.1,24.59047619,2499,15.36111111,156.7434,23.72717
OV25A,25,B,2/4/24 11:38,50.59,2.283,22.15943933,2499,15.36111111,156.7434,23.72717
OV25B,25,C,2/4/24 11:39,39.92,1.676,23.81861575,2499,15.36111111,156.7434,23.72717
OV25C,25,A,2/4/24 11:40,38.95,1.589,24.51227187,2499,15.36111111,156.7434,23.72717
OV26A,26,B,2/4/24 11:50,90.23,4.427,20.38174836,2499,15.36111111,156.7434,23.72717
OV26B,26,C,2/4/24 11:51,97.13,4.761,20.40117622,2499,15.36111111,156.7434,23.72717
OV26C,26,A,2/4/24 11:52,39.94,1.897,21.05429626,2499,15.36111111,156.7434,23.72717
OV27A,27,A,2/4/24 11:52,37.6,2.269,16.57117673,2499,15.36111111,156.7434,23.72717
OV27B,27,B,2/4/24 11:53,48.24,2.511,19.21146953,2499,15.36111111,156.7434,23.72717
OV27C,27,C,2/4/24 11:54,37,1.858,19.9138859,2499,15.36111111,156.7434,23.72717
OV28A,28,A,2/4/24 11:55,39.2,2.046,19.15933529,2499,15.36111111,156.7434,23.72717
OV28B,28,B,2/4/24 11:55,33.76,1.931,17.48316934,2499,15.36111111,156.7434,23.72717
OV28C,28,C,2/4/24 11:56,43.19,2.621,16.47844334,2499,15.36111111,156.7434,23.72717
OV29A,29,A,2/4/24 11:57,31.45,2.304,13.65017361,2499,15.36111111,156.7434,23.72717
OV29B,29,B,2/4/24 11:58,31.35,2.048,15.30761719,2499,15.36111111,156.7434,23.72717
OV29C,29,C,2/4/24 11:58,37.83,2.469,15.32199271,2499,15.36111111,156.7434,23.72717
OV30A,30,A,2/4/24 12:00,32.12,2.094,15.33906399,2499,15.36111111,156.7434,23.72717
OV30B,30,B,2/4/24 12:01,28.72,1.863,15.41599571,2499,15.36111111,156.7434,23.72717
OV30C,30,C,2/4/24 12:01,33.42,1.84,18.16304348,2499,15.36111111,156.7434,23.72717
BM1A,1,A,2/4/24 15:58,31.64,1.781,17.76530039,2778,15.16851667,125.3236,23.12017
BM1B,1,B,2/4/24 15:59,40.41,2.431,16.62278898,2778,15.16851667,125.3236,23.12017
BM1C,1,C,2/4/24 16:00,35.89,1.822,19.69813392,2778,15.16851667,125.3236,23.12017
BM2A,2,A,2/4/24 16:00,39.91,2.805,14.22816399,2778,15.16851667,125.3236,23.12017
BM2B,2,B,2/4/24 16:01,39.52,2.664,14.83483483,2778,15.16851667,125.3236,23.12017
BM2C,2,C,2/4/24 16:02,38.23,2.516,15.19475358,2778,15.16851667,125.3236,23.12017
BM3A,3,A,2/4/24 16:03,25.69,1.746,14.71363116,2778,15.16851667,125.3236,23.12017
BM3B,3,B,2/4/24 16:04,26.53,2.05,12.94146341,2778,15.16851667,125.3236,23.12017
BM3C,3,C,2/4/24 16:05,23.94,1.692,14.14893617,2778,15.16851667,125.3236,23.12017
BM4A,4,A,2/4/24 16:06,19.37,1.782,10.8698092,2778,15.16851667,125.3236,23.12017
BM4B,4,B,2/4/24 16:07,26.45,1.813,14.58907887,2778,15.16851667,125.3236,23.12017
BM4C,4,C,2/4/24 16:08,23.23,1.653,14.05323654,2778,15.16851667,125.3236,23.12017
BM5A,5,A,2/4/24 16:09,19.39,1.098,17.65938069,2778,15.16851667,125.3236,23.12017
BM5B,5,A,2/4/24 16:10,18.77,1.227,15.29747351,2778,15.16851667,125.3236,23.12017
BM5C,5,B,2/4/24 16:11,19.8,1.325,14.94339623,2778,15.16851667,125.3236,23.12017
BM6A,6,C,2/4/24 16:12,23.27,1.521,15.2991453,2778,15.16851667,125.3236,23.12017
BM6B,6,A,2/4/24 16:12,13.79,1.189,11.5979815,2778,15.16851667,125.3236,23.12017
BM6C,6,B,2/4/24 16:13,20.41,1.541,13.24464633,2778,15.16851667,125.3236,23.12017
BM7A,7,C,2/4/24 16:18,31.07,1.978,15.70778564,2778,15.16851667,125.3236,23.12017
BM7B,7,A,2/4/24 16:18,23.94,1.456,16.44230769,2778,15.16851667,125.3236,23.12017
BM7C,7,B,2/4/24 16:19,23.35,1.36,17.16911765,2778,15.16851667,125.3236,23.12017
BM8A,8,C,2/4/24 16:20,31.94,1.633,19.55909369,2778,15.16851667,125.3236,23.12017
BM8B,8,A,2/4/24 16:21,24.88,1.258,19.77742448,2778,15.16851667,125.3236,23.12017
BM8C,8,B,2/4/24 16:22,29.87,1.497,19.95323981,2778,15.16851667,125.3236,23.12017
BM9A,9,C,2/4/24 16:23,21.8,1.132,19.25795053,2778,15.16851667,125.3236,23.12017
BM9B,9,A,2/4/24 16:23,23.87,1.312,18.19359756,2778,15.16851667,125.3236,23.12017
BM9C,9,A,2/4/24 16:24,19.45,1.068,18.21161049,2778,15.16851667,125.3236,23.12017
BM10A,10,B,2/4/24 16:25,37.34,2.577,14.48971672,2778,15.16851667,125.3236,23.12017
BM10B,10,C,2/4/24 16:26,40.23,2.34,17.19230769,2778,15.16851667,125.3236,23.12017
BM10C,10,A,2/4/24 16:26,33.62,2.024,16.61067194,2778,15.16851667,125.3236,23.12017
BM11A,11,B,2/4/24 16:28,34.01,2.311,14.71657291,2778,15.16851667,125.3236,23.12017
BM11B,11,C,2/4/24 16:28,28.53,1.928,14.79771784,2778,15.16851667,125.3236,23.12017
BM11C,11,A,2/4/24 16:29,33.09,2.342,14.12894962,2778,15.16851667,125.3236,23.12017
BM12A,12,B,2/4/24 16:30,35.06,2.564,13.67394696,2778,15.16851667,125.3236,23.12017
BM12B,12,C,2/4/24 16:31,41.25,2.671,15.44365406,2778,15.16851667,125.3236,23.12017
BM12C,12,A,2/4/24 16:32,47.76,2.961,16.12968592,2778,15.16851667,125.3236,23.12017
BM13A,13,B,2/4/24 16:38,25.51,1.684,15.14845606,2778,15.16851667,125.3236,23.12017
BM13B,13,C,2/4/24 16:38,26.76,1.565,17.09904153,2778,15.16851667,125.3236,23.12017
BM13C,13,A,2/4/24 16:40,26.61,1.711,15.55230859,2778,15.16851667,125.3236,23.12017
BM14A,14,A,2/4/24 16:41,29.26,2.146,13.63466915,2778,15.16851667,125.3236,23.12017
BM14B,14,B,2/4/24 16:42,29.27,2.052,14.26413255,2778,15.16851667,125.3236,23.12017
BM14C,14,C,2/4/24 16:43,20.18,1.68,12.01190476,2778,15.16851667,125.3236,23.12017
BM15A,15,A,2/4/24 16:44,19.34,1.283,15.07404521,2778,15.16851667,125.3236,23.12017
BM15B,15,B,2/4/24 16:44,20.09,1.306,15.38284839,2778,15.16851667,125.3236,23.12017
BM15C,15,C,2/4/24 16:45,12.5,0.937,13.34044824,2778,15.16851667,125.3236,23.12017
BM16A,16,A,2/4/24 16:46,16.26,1.319,12.32752085,2778,15.16851667,125.3236,23.12017
BM16B,16,B,2/4/24 16:47,14.91,1.494,9.979919679,2778,15.16851667,125.3236,23.12017
BM16C,16,C,2/4/24 16:48,22.57,1.878,12.01810437,2778,15.16851667,125.3236,23.12017
BM17A,17,A,2/4/24 16:49,21.72,2.051,10.58995612,2778,15.16851667,125.3236,23.12017
BM17B,17,B,2/4/24 16:50,20.97,1.984,10.56955645,2778,15.16851667,125.3236,23.12017
BM17C,17,C,2/4/24 16:50,21.48,1.892,11.35306554,2778,15.16851667,125.3236,23.12017
BM18A,18,A,2/4/24 16:51,27.8,2.323,11.96728368,2778,15.16851667,125.3236,23.12017
BM18B,18,A,2/4/24 16:52,31.6,2.474,12.77283751,2778,15.16851667,125.3236,23.12017
BM18C,18,B,2/4/24 16:53,28.9,2.224,12.99460432,2778,15.16851667,125.3236,23.12017
BM19A,19,C,2/4/24 16:57,25.36,1.971,12.8665652,2778,15.16851667,125.3236,23.12017
BM19B,19,A,2/4/24 16:58,24.07,2.026,11.88055281,2778,15.16851667,125.3236,23.12017
BM19C,19,B,2/4/24 16:59,20.43,1.962,10.41284404,2778,15.16851667,125.3236,23.12017
BM20A,20,C,2/4/24 17:00,25.7,1.812,14.18322296,2778,15.16851667,125.3236,23.12017
BM20B,20,A,2/4/24 17:01,26.78,1.711,15.65166569,2778,15.16851667,125.3236,23.12017
BM20C,20,B,2/4/24 17:02,17.47,1.576,11.08502538,2778,15.16851667,125.3236,23.12017
BM21A,21,C,2/4/24 17:02,34.73,3.008,11.54587766,2778,15.16851667,125.3236,23.12017
BM21B,21,A,2/4/24 17:03,22.48,1.862,12.07303974,2778,15.16851667,125.3236,23.12017
BM21C,21,B,2/4/24 17:04,22.8,2.013,11.32637854,2778,15.16851667,125.3236,23.12017
BM22A,22,C,2/4/24 17:05,25.65,1.696,15.12382075,2778,15.16851667,125.3236,23.12017
BM22B,22,A,2/4/24 17:06,31.19,2.09,14.92344498,2778,15.16851667,125.3236,23.12017
BM22C,22,A,2/4/24 17:07,30.44,1.94,15.69072165,2778,15.16851667,125.3236,23.12017
BM23A,23,B,2/4/24 17:08,47.6,2.604,18.27956989,2778,15.16851667,125.3236,23.12017
BM23B,23,C,2/4/24 17:09,41.05,2.263,18.13963765,2778,15.16851667,125.3236,23.12017
BM23C,23,A,2/4/24 17:10,44.43,2.203,20.16795279,2778,15.16851667,125.3236,23.12017
BM24A,24,B,2/4/24 17:13,35.83,2.717,13.18733898,2778,15.16851667,125.3236,23.12017
BM24B,24,C,2/4/24 17:13,33.23,2.451,13.55773154,2778,15.16851667,125.3236,23.12017
BM24C,24,A,2/4/24 17:14,33.97,2.745,12.37522769,2778,15.16851667,125.3236,23.12017
BM25A,25,B,2/4/24 17:18,36.47,2.437,14.96512105,2778,15.16851667,125.3236,23.12017
BM25B,25,C,2/4/24 17:19,33.59,2.285,14.70021882,2778,15.16851667,125.3236,23.12017
BM25C,25,A,2/4/24 17:20,36.83,2.57,14.3307393,2778,15.16851667,125.3236,23.12017
BM26A,26,B,2/4/24 17:21,23.37,1.814,12.8831312,2778,15.16851667,125.3236,23.12017
BM26B,26,C,2/4/24 17:22,27.4,1.97,13.90862944,2778,15.16851667,125.3236,23.12017
BM26C,26,A,2/4/24 17:23,13.82,0.641,21.5600624,2778,15.16851667,125.3236,23.12017
BM27A,27,A,2/4/24 17:25,23.99,1.937,12.38513165,2778,15.16851667,125.3236,23.12017
BM27B,27,B,2/4/24 17:26,34.41,2.431,14.15466886,2778,15.16851667,125.3236,23.12017
BM27C,27,C,2/4/24 17:27,28.97,2.342,12.36976943,2778,15.16851667,125.3236,23.12017
BM28A,28,A,2/4/24 17:28,39.22,2.712,14.46165192,2778,15.16851667,125.3236,23.12017
BM28B,28,B,2/4/24 17:28,39.23,2.494,15.7297514,2778,15.16851667,125.3236,23.12017
BM28C,28,C,2/4/24 17:29,41.4,2.993,13.83227531,2778,15.16851667,125.3236,23.12017
BM29A,29,A,2/4/24 17:30,37,2.562,14.44184231,2778,15.16851667,125.3236,23.12017
BM29B,29,B,2/4/24 17:31,38.93,2.798,13.91350965,2778,15.16851667,125.3236,23.12017
BM29C,29,C,2/4/24 17:32,33.04,2.193,15.06611947,2778,15.16851667,125.3236,23.12017
BM30A,30,A,2/4/24 17:32,40.88,2.718,15.04047093,2778,15.16851667,125.3236,23.12017
BM30B,30,B,2/4/24 17:33,32.55,2.411,13.50062215,2778,15.16851667,125.3236,23.12017
BM30C,30,C,2/4/24 17:34,16.6,1.291,12.85824942,2778,15.16851667,125.3236,23.12017
TA1A,1,A,2/10/24 13:19,13.76,0.834,16.49880096,2724,14.18703889,166.2684,20.71733
TA1B,1,B,2/10/24 13:20,10.91,0.556,19.62230216,2724,14.18703889,166.2684,20.71733
TA1C,1,C,2/10/24 13:21,8.45,0.498,16.96787149,2724,14.18703889,166.2684,20.71733
TA2A,2,A,2/10/24 13:22,15.69,0.886,17.70880361,2724,14.18703889,166.2684,20.71733
TA2B,2,B,2/10/24 13:23,16.41,0.998,16.44288577,2724,14.18703889,166.2684,20.71733
TA2C,2,C,2/10/24 13:25,13.14,0.803,16.36363636,2724,14.18703889,166.2684,20.71733
TA3A,3,A,2/10/24 13:26,12.2,0.755,16.1589404,2724,14.18703889,166.2684,20.71733
TA3B,3,B,2/10/24 13:27,11.56,0.755,15.31125828,2724,14.18703889,166.2684,20.71733
TA3C,3,C,2/10/24 13:28,11.27,0.75,15.02666667,2724,14.18703889,166.2684,20.71733
TA4A,4,A,2/10/24 13:29,20.38,0.964,21.14107884,2724,14.18703889,166.2684,20.71733
TA4B,4,B,2/10/24 13:30,9.44,0.506,18.65612648,2724,14.18703889,166.2684,20.71733
TA5A,5,A,2/10/24 13:31,25.97,1.292,20.1006192,2724,14.18703889,166.2684,20.71733
TA5B,5,B,2/10/24 13:32,22.13,1.242,17.81803543,2724,14.18703889,166.2684,20.71733
TA5C,5,C,2/10/24 13:33,20.19,0.827,24.41354293,2724,14.18703889,166.2684,20.71733
TA6A,6,A,2/10/24 13:34,20.03,1.609,12.44872592,2724,14.18703889,166.2684,20.71733
TA6B,6,B,2/10/24 13:35,18.95,1.352,14.01627219,2724,14.18703889,166.2684,20.71733
TA6C,6,C,2/10/24 13:36,15.48,0.985,15.71573604,2724,14.18703889,166.2684,20.71733
TA7A,7,A,2/10/24 13:37,16.52,0.844,19.57345972,2724,14.18703889,166.2684,20.71733
TA7B,7,B,2/10/24 13:38,9,0.561,16.04278075,2724,14.18703889,166.2684,20.71733
TA7C,7,C,2/10/24 13:39,12.18,0.633,19.24170616,2724,14.18703889,166.2684,20.71733
TA8A,8,A,2/10/24 13:40,13.17,0.627,21.00478469,2724,14.18703889,166.2684,20.71733
TA8B,8,B,2/10/24 13:42,16.56,0.58,28.55172414,2724,14.18703889,166.2684,20.71733
TA8C,8,C,2/10/24 13:43,12.39,0.563,22.0071048,2724,14.18703889,166.2684,20.71733
TA9A,9,A,2/10/24 13:44,12.96,0.637,20.34536892,2724,14.18703889,166.2684,20.71733
TA9B,9,B,2/10/24 13:45,14.36,0.626,22.93929712,2724,14.18703889,166.2684,20.71733
TA9C,9,C,2/10/24 13:46,12.34,0.665,18.55639098,2724,14.18703889,166.2684,20.71733
TA10A,10,A,2/10/24 13:48,21.83,1.178,18.53140917,2724,14.18703889,166.2684,20.71733
TA10B,10,B,2/10/24 13:49,19.31,1.06,18.21698113,2724,14.18703889,166.2684,20.71733
TA10C,10,C,2/10/24 13:50,14.47,0.764,18.93979058,2724,14.18703889,166.2684,20.71733
TA11A,11,A,2/10/24 13:50,37.32,1.733,21.53491056,2724,14.18703889,166.2684,20.71733
TA11B,11,B,2/10/24 13:51,24.27,1.245,19.4939759,2724,14.18703889,166.2684,20.71733
TA11C,11,C,2/10/24 13:52,30.52,1.683,18.13428402,2724,14.18703889,166.2684,20.71733
TA12A,12,A,2/10/24 13:53,31.21,1.658,18.8238842,2724,14.18703889,166.2684,20.71733
TA12B,12,B,2/10/24 13:56,23.17,1.329,17.43416102,2724,14.18703889,166.2684,20.71733
TA13A,13,A,2/10/24 13:59,16.94,1,16.94,2724,14.18703889,166.2684,20.71733
TA13B,13,B,2/10/24 14:00,17.97,0.795,22.60377358,2724,14.18703889,166.2684,20.71733
TA13C,13,C,2/10/24 14:01,14.91,0.75,19.88,2724,14.18703889,166.2684,20.71733
TA14A,14,A,2/10/24 14:04,26.08,1.237,21.08326597,2724,14.18703889,166.2684,20.71733
TA14B,14,B,2/10/24 14:05,17.67,0.694,25.4610951,2724,14.18703889,166.2684,20.71733
TA14C,14,C,2/10/24 14:08,14.27,0.567,25.1675485,2724,14.18703889,166.2684,20.71733
TA15A,15,A,2/10/24 14:09,17.62,0.908,19.40528634,2724,14.18703889,166.2684,20.71733
TA15B,15,B,2/10/24 14:10,21.14,1.052,20.09505703,2724,14.18703889,166.2684,20.71733
TA15C,15,C,2/10/24 14:10,15.49,0.734,21.10354223,2724,14.18703889,166.2684,20.71733
TA16A,16,A,2/10/24 14:11,44.49,2.162,20.57816836,2724,14.18703889,166.2684,20.71733
TA16B,16,B,2/10/24 14:12,23.5,1.253,18.75498803,2724,14.18703889,166.2684,20.71733
TA16C,16,C,2/10/24 14:13,29.37,1.388,21.15994236,2724,14.18703889,166.2684,20.71733
TA17A,17,A,2/10/24 14:14,30.57,1.942,15.7415036,2724,14.18703889,166.2684,20.71733
TA17B,17,B,2/10/24 14:15,39.97,2.826,14.14366596,2724,14.18703889,166.2684,20.71733
TA17C,17,C,2/10/24 14:15,29.44,1.793,16.41940881,2724,14.18703889,166.2684,20.71733
TA18A,18,A,2/10/24 14:23,14.16,0.614,23.06188925,2724,14.18703889,166.2684,20.71733
TA18B,18,B,2/10/24 14:24,12.51,0.568,22.02464789,2724,14.18703889,166.2684,20.71733
TA18C,18,C,2/10/24 14:25,9.16,0.407,22.50614251,2724,14.18703889,166.2684,20.71733
TA19A,19,A,2/10/24 14:26,20.15,1.164,17.31099656,2724,14.18703889,166.2684,20.71733
TA19B,19,B,2/10/24 14:27,23.67,1.142,20.7267951,2724,14.18703889,166.2684,20.71733
TA19C,19,C,2/10/24 14:28,18.39,0.943,19.50159067,2724,14.18703889,166.2684,20.71733
TA20A,20,A,2/10/24 14:29,13.38,0.692,19.33526012,2724,14.18703889,166.2684,20.71733
TA20B,20,B,2/10/24 14:30,16.72,0.935,17.88235294,2724,14.18703889,166.2684,20.71733
TA20C,20,C,2/10/24 14:31,9.71,0.448,21.67410714,2724,14.18703889,166.2684,20.71733
TA21A,21,A,2/10/24 15:01,10.64,0.699,15.22174535,2724,14.18703889,166.2684,20.71733
TA21B,21,B,2/10/24 15:02,6.74,0.456,14.78070175,2724,14.18703889,166.2684,20.71733
TA21C,21,C,2/10/24 15:03,11.26,0.745,15.11409396,2724,14.18703889,166.2684,20.71733
LP1A,1,A,2/11/24 8:45,36.37,1.42,25.61267606,1702,16.06851667,173.4058,23.41333
LP1B,1,B,2/11/24 8:46,34.44,1.247,27.61828388,1702,16.06851667,173.4058,23.41333
LP1C,1,C,2/11/24 8:47,35.11,1.364,25.74046921,1702,16.06851667,173.4058,23.41333
LP2A,2,A,2/11/24 8:48,21.39,1.173,18.23529412,1702,16.06851667,173.4058,23.41333
LP2B,2,B,2/11/24 8:49,18.45,1.01,18.26732673,1702,16.06851667,173.4058,23.41333
LP2C,2,C,2/11/24 8:50,16.38,0.865,18.93641618,1702,16.06851667,173.4058,23.41333
LP3A,3,A,2/11/24 8:52,20.21,0.842,24.0023753,1702,16.06851667,173.4058,23.41333
LP3B,3,B,2/11/24 8:52,14.99,0.857,17.49124854,1702,16.06851667,173.4058,23.41333
LP3C,3,C,2/11/24 8:53,19.91,1.137,17.51099384,1702,16.06851667,173.4058,23.41333
LP4A,4,A,2/11/24 8:54,16.67,0.96,17.36458333,1702,16.06851667,173.4058,23.41333
LP4B,4,B,2/11/24 8:55,11.51,0.639,18.01251956,1702,16.06851667,173.4058,23.41333
LP4C,4,C,2/11/24 8:56,17.04,0.917,18.5823337,1702,16.06851667,173.4058,23.41333
LP5A,5,A,2/11/24 8:57,31.12,1.763,17.65173001,1702,16.06851667,173.4058,23.41333
LP5B,5,A,2/11/24 8:58,24.28,1.457,16.66437886,1702,16.06851667,173.4058,23.41333
LP5C,5,B,2/11/24 8:59,26.16,1.336,19.58083832,1702,16.06851667,173.4058,23.41333
LP6A,6,C,2/11/24 9:00,33.72,1.195,28.21757322,1702,16.06851667,173.4058,23.41333
LP6B,6,A,2/11/24 9:01,29.88,0.981,30.4587156,1702,16.06851667,173.4058,23.41333
LP6C,6,B,2/11/24 9:02,25.12,0.914,27.48358862,1702,16.06851667,173.4058,23.41333
LP7A,7,C,2/11/24 9:08,15.63,1.044,14.97126437,1702,16.06851667,173.4058,23.41333
LP7B,7,A,2/11/24 9:09,16.17,1.038,15.57803468,1702,16.06851667,173.4058,23.41333
LP7C,7,B,2/11/24 9:10,17.59,1.064,16.53195489,1702,16.06851667,173.4058,23.41333
LP8A,8,C,2/11/24 9:11,35.8,1.741,20.56289489,1702,16.06851667,173.4058,23.41333
LP8B,8,A,2/11/24 9:12,27.67,1.228,22.53257329,1702,16.06851667,173.4058,23.41333
LP8C,8,B,2/11/24 9:13,27.45,1.47,18.67346939,1702,16.06851667,173.4058,23.41333
LP9A,9,C,2/11/24 9:15,61.82,3.01,20.53820598,1702,16.06851667,173.4058,23.41333
